ts,pair,long_venue,long_symbol,long_bid,long_ask,short_venue,short_symbol,short_bid,short_ask,entry_edge_bps,position_qty,long_avg_entry,short_avg_entry
2026-05-07T16:00:04.508082Z,MSTR_grvt_vs_ext,grvt,MSTR_USDT_Perp,179.76000000,179.87000000,extended,MSTR_24_5-USD,178.59000000,178.80000000,-83.6625,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,MSFT_ext_vs_grvt,extended,MSFT_24_5-USD,425.34000000,425.67000000,grvt,MSFT_USDT_Perp,425.75000000,425.98000000,-10.6206,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,MSFT_grvt_vs_ext,grvt,MSFT_USDT_Perp,425.75000000,425.98000000,extended,MSFT_24_5-USD,425.34000000,425.67000000,-27.5242,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,AAPL_ext_vs_grvt,extended,AAPL_24_5-USD,289.04000000,289.23000000,grvt,AAPL_USDT_Perp,289.42000000,289.43000000,-5.9308,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,AAPL_grvt_vs_ext,grvt,AAPL_USDT_Perp,289.42000000,289.43000000,extended,AAPL_24_5-USD,289.04000000,289.23000000,-25.9748,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,NVDA_ext_vs_grvt,extended,NVDA_24_5-USD,212.52000000,212.77000000,grvt,NVDA_USDT_Perp,212.96000000,212.97000000,-3.5702,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,NVDA_grvt_vs_ext,grvt,NVDA_USDT_Perp,212.96000000,212.97000000,extended,NVDA_24_5-USD,212.52000000,212.77000000,-33.6297,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,AMZN_ext_vs_grvt,extended,AMZN_24_5-USD,273.46000000,273.58000000,grvt,AMZN_USDT_Perp,273.86000000,273.98000000,-2.2653,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,AMZN_grvt_vs_ext,grvt,AMZN_USDT_Perp,273.86000000,273.98000000,extended,AMZN_24_5-USD,273.46000000,273.58000000,-31.4795,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,TSLA_ext_vs_grvt,extended,TSLA_24_5-USD,407.97000000,408.26000000,grvt,TSLA_USDT_Perp,409.34000000,409.35000000,13.9537,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,TSLA_grvt_vs_ext,grvt,TSLA_USDT_Perp,409.34000000,409.35000000,extended,TSLA_24_5-USD,407.97000000,408.26000000,-46.2120,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,META_ext_vs_grvt,extended,META_24_5-USD,622.65000000,623.53000000,grvt,META_USDT_Perp,623.41000000,623.42000000,-14.4245,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,META_grvt_vs_ext,grvt,META_USDT_Perp,623.41000000,623.42000000,extended,META_24_5-USD,622.65000000,623.53000000,-24.8512,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,COIN_ext_vs_grvt,extended,COIN_24_5-USD,193.79000000,193.99000000,grvt,COIN_USDT_Perp,194.28000000,194.36000000,2.4492,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,COIN_grvt_vs_ext,grvt,COIN_USDT_Perp,194.28000000,194.36000000,extended,COIN_24_5-USD,193.79000000,193.99000000,-41.8270,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,PLTR_ext_vs_grvt,extended,PLTR_24_5-USD,138.93000000,139.06000000,grvt,PLTR_USDT_Perp,139.23000000,139.32000000,-0.2751,0.00000000,0.00000000,0.00000000
